,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
2802,Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,Hispanic or Latino,8021
2803,Bloomington,Minnesota,40.9,43318.0,43118.0,86436,6176.0,10728.0,2.3,MN,American Indian and Alaska Native,1745
2804,Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,White,259820
2805,San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,White,442155
2806,Franklin,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,White,61459
2807,Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,Asian,42053
2808,Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,Hispanic or Latino,25638
2809,Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,White,66504
2810,Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA,Hispanic or Latino,31102
2811,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,Asian,13596
2812,Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Hispanic or Latino,28712
2813,Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,Black or African-American,67798
2814,Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,White,163096
